ID,Name,Gender,Qualification,,
343,"""Don Miguel Ruiz""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (343, ""Don Miguel Ruiz"", ""M"" , ""Undergraduate"" );"
344,"""Luis Racionero""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (344, ""Luis Racionero"", ""M"" , ""Undergraduate"" );"
345,"""Eugeni Perea Simón""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (345, ""Eugeni Perea Simón"", ""M"" , ""Undergraduate"" );"
346,"""Thomas Hauser""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (346, ""Thomas Hauser"", ""M"" , ""Undergraduate"" );"
347,"""Vicenç Villatoro""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (347, ""Vicenç Villatoro"", ""M"" , ""Undergraduate"" );"
348,"""Víctor Mora""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (348, ""Víctor Mora"", ""M"" , ""Undergraduate"" );"
349,"""Elena Castedo""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (349, ""Elena Castedo"", ""M"" , ""Undergraduate"" );"
350,"""Ofèlia Dracs""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (350, ""Ofèlia Dracs"", ""M"" , ""Undergraduate"" );"
351,"""Antoni Serra""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (351, ""Antoni Serra"", ""M"" , ""Undergraduate"" );"
352,"""M. Carme Junyent""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (352, ""M. Carme Junyent"", ""M"" , ""Undergraduate"" );"
353,"""Jaume Capó""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (353, ""Jaume Capó"", ""M"" , ""Undergraduate"" );"
354,"""Màrius Serra""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (354, ""Màrius Serra"", ""M"" , ""Undergraduate"" );"
355,"""Ferran Torrent""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (355, ""Ferran Torrent"", ""M"" , ""Undergraduate"" );"
356,"""Joan Agut""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (356, ""Joan Agut"", ""M"" , ""Undergraduate"" );"
357,"""Carmen Rico-Godoy""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (357, ""Carmen Rico-Godoy"", ""M"" , ""Undergraduate"" );"
358,"""Maria Jaén""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (358, ""Maria Jaén"", ""M"" , ""Undergraduate"" );"
359,"""Paul Lester""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (359, ""Paul Lester"", ""M"" , ""Undergraduate"" );"
360,"""Leo Tolstoy""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (360, ""Leo Tolstoy"", ""M"" , ""Undergraduate"" );"
361,"""Simon Nye""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (361, ""Simon Nye"", ""M"" , ""Undergraduate"" );"
362,"""Robert A Johnson""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (362, ""Robert A Johnson"", ""M"" , ""Undergraduate"" );"
363,"""Horacio Vazquez-Rial""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (363, ""Horacio Vazquez-Rial"", ""M"" , ""Undergraduate"" );"
364,"""Marc Gascoigne""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (364, ""Marc Gascoigne"", ""M"" , ""Undergraduate"" );"
365,"""Stephanie Maze""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (365, ""Stephanie Maze"", ""M"" , ""Undergraduate"" );"
366,"""Sandra Dallas""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (366, ""Sandra Dallas"", ""M"" , ""Undergraduate"" );"
367,"""Anne McCaffrey""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (367, ""Anne McCaffrey"", ""M"" , ""Undergraduate"" );"
368,"""David Gemmell""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (368, ""David Gemmell"", ""M"" , ""Undergraduate"" );"
369,"""Laura Zigman""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (369, ""Laura Zigman"", ""M"" , ""Undergraduate"" );"
370,"""Margaret Truman""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (370, ""Margaret Truman"", ""M"" , ""Undergraduate"" );"
371,"""Nic Kynaston""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (371, ""Nic Kynaston"", ""M"" , ""Undergraduate"" );"
372,"""Paula Danziger""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (372, ""Paula Danziger"", ""M"" , ""Undergraduate"" );"
373,"""Richard A. Lupoff""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (373, ""Richard A. Lupoff"", ""M"" , ""Undergraduate"" );"
374,"""Carrie Bebris""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (374, ""Carrie Bebris"", ""M"" , ""Undergraduate"" );"
375,"""Ellen Carol Dubois""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (375, ""Ellen Carol Dubois"", ""M"" , ""Undergraduate"" );"
376,"""Candice F. Ransom""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (376, ""Candice F. Ransom"", ""M"" , ""Undergraduate"" );"
377,"""Sam Bobrick""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (377, ""Sam Bobrick"", ""M"" , ""Undergraduate"" );"
378,"""Donna K Grosvenor""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (378, ""Donna K Grosvenor"", ""M"" , ""Undergraduate"" );"
379,"""Valerie Block""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (379, ""Valerie Block"", ""M"" , ""Undergraduate"" );"
380,"""Luanne Rice""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (380, ""Luanne Rice"", ""M"" , ""Undergraduate"" );"
381,"""Ellen Gilchrist""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (381, ""Ellen Gilchrist"", ""M"" , ""Undergraduate"" );"
382,"""TIM GAUTREAUX""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (382, ""TIM GAUTREAUX"", ""M"" , ""Undergraduate"" );"
383,"""Richard Russo""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (383, ""Richard Russo"", ""M"" , ""Undergraduate"" );"
384,"""Jostein Gaarder""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (384, ""Jostein Gaarder"", ""M"" , ""Undergraduate"" );"
385,"""ANNA QUINDLEN""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (385, ""ANNA QUINDLEN"", ""M"" , ""Undergraduate"" );"
386,"""Diane Johnson""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (386, ""Diane Johnson"", ""M"" , ""Undergraduate"" );"
387,"""Wally Lamb""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (387, ""Wally Lamb"", ""M"" , ""Undergraduate"" );"
388,"""Adeline Yen Mah""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (388, ""Adeline Yen Mah"", ""M"" , ""Undergraduate"" );"
389,"""Barbara Ehrenreich""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (389, ""Barbara Ehrenreich"", ""M"" , ""Undergraduate"" );"
390,"""DOROTHY DUNNETT""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (390, ""DOROTHY DUNNETT"", ""M"" , ""Undergraduate"" );"
391,"""JOHN LE CARRE""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (391, ""JOHN LE CARRE"", ""M"" , ""Undergraduate"" );"
392,"""A. C. Gordon""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (392, ""A. C. Gordon"", ""M"" , ""Undergraduate"" );"
393,"""Emily Dickinson""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (393, ""Emily Dickinson"", ""M"" , ""Undergraduate"" );"
394,"""Hazel Harrison""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (394, ""Hazel Harrison"", ""M"" , ""Undergraduate"" );"
395,"""Joseph Girzone""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (395, ""Joseph Girzone"", ""M"" , ""Undergraduate"" );"
396,"""Lorraine Anderson""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (396, ""Lorraine Anderson"", ""M"" , ""Undergraduate"" );"
397,"""AD HUDLER""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (397, ""AD HUDLER"", ""M"" , ""Undergraduate"" );"
398,"""Josephine Carlton""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (398, ""Josephine Carlton"", ""M"" , ""Undergraduate"" );"
399,"""Ted L. Nancy""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (399, ""Ted L. Nancy"", ""M"" , ""Undergraduate"" );"
400,"""Francis Wheen""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (400, ""Francis Wheen"", ""M"" , ""Undergraduate"" );"
401,"""Joyce Reardon""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (401, ""Joyce Reardon"", ""M"" , ""Undergraduate"" );"
402,"""Sidney Sheldon""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (402, ""Sidney Sheldon"", ""M"" , ""Undergraduate"" );"
403,"""Christopher Moore""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (403, ""Christopher Moore"", ""M"" , ""Undergraduate"" );"
404,"""Robert Lacey""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (404, ""Robert Lacey"", ""M"" , ""Undergraduate"" );"
405,"""Tim Dorsey""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (405, ""Tim Dorsey"", ""M"" , ""Undergraduate"" );"
406,"""JODI COMPTON""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (406, ""JODI COMPTON"", ""M"" , ""Undergraduate"" );"
407,"""Elmore Leonard""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (407, ""Elmore Leonard"", ""M"" , ""Undergraduate"" );"
408,"""Lynn Coady""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (408, ""Lynn Coady"", ""M"" , ""Undergraduate"" );"
409,"""John Lawton""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (409, ""John Lawton"", ""M"" , ""Undergraduate"" );"
410,"""Eileen Yin-Fei Lo""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (410, ""Eileen Yin-Fei Lo"", ""M"" , ""Undergraduate"" );"
411,"""Tilden H. Edwards""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (411, ""Tilden H. Edwards"", ""M"" , ""Undergraduate"" );"
412,"""Vikram Seth""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (412, ""Vikram Seth"", ""M"" , ""Undergraduate"" );"
413,"""Elizabeth Gaskell""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (413, ""Elizabeth Gaskell"", ""M"" , ""Undergraduate"" );"
414,"""Anita Diamant""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (414, ""Anita Diamant"", ""M"" , ""Undergraduate"" );"
415,"""Lauren Haney""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (415, ""Lauren Haney"", ""M"" , ""Undergraduate"" );"
416,"""Gerald Stern""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (416, ""Gerald Stern"", ""M"" , ""Undergraduate"" );"
417,"""Patricia Daniels Cornwell""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (417, ""Patricia Daniels Cornwell"", ""M"" , ""Undergraduate"" );"
418,"""Martha Grimes""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (418, ""Martha Grimes"", ""M"" , ""Undergraduate"" );"
419,"""Henry James""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (419, ""Henry James"", ""M"" , ""Undergraduate"" );"
420,"""Sarah Orne Jewett""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (420, ""Sarah Orne Jewett"", ""M"" , ""Undergraduate"" );"
421,"""William Carlos Williams""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (421, ""William Carlos Williams"", ""M"" , ""Undergraduate"" );"
422,"""Anthony Trollope""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (422, ""Anthony Trollope"", ""M"" , ""Undergraduate"" );"
423,"""Harry Kemelman""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (423, ""Harry Kemelman"", ""M"" , ""Undergraduate"" );"
424,"""Mil Millington""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (424, ""Mil Millington"", ""M"" , ""Undergraduate"" );"
425,"""Suzanne G. Farnham""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (425, ""Suzanne G. Farnham"", ""M"" , ""Undergraduate"" );"
426,"""Czeslaw Milosz""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (426, ""Czeslaw Milosz"", ""M"" , ""Undergraduate"" );"
427,"""Margaret Guenther""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (427, ""Margaret Guenther"", ""M"" , ""Undergraduate"" );"
428,"""Roberto Juarroz""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (428, ""Roberto Juarroz"", ""M"" , ""Undergraduate"" );"
429,"""Akiba Rubinstein""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (429, ""Akiba Rubinstein"", ""M"" , ""Undergraduate"" );"
430,"""Emma McLaughlin""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (430, ""Emma McLaughlin"", ""M"" , ""Undergraduate"" );"
431,"""P Coelho""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (431, ""P Coelho"", ""M"" , ""Undergraduate"" );"
432,"""Elena Ferrante""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (432, ""Elena Ferrante"", ""M"" , ""Undergraduate"" );"
433,"""Paul Jennings""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (433, ""Paul Jennings"", ""M"" , ""Undergraduate"" );"
434,"""Mark E., Jr. Neely""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (434, ""Mark E., Jr. Neely"", ""M"" , ""Undergraduate"" );"
435,"""Stephen J. Weininger""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (435, ""Stephen J. Weininger"", ""M"" , ""Undergraduate"" );"
436,"""Larry Katzenstein""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (436, ""Larry Katzenstein"", ""M"" , ""Undergraduate"" );"
437,"""David Steinman""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (437, ""David Steinman"", ""M"" , ""Undergraduate"" );"
438,"""Alfie Kohn""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (438, ""Alfie Kohn"", ""M"" , ""Undergraduate"" );"
439,"""Paula Polk Lillard""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (439, ""Paula Polk Lillard"", ""M"" , ""Undergraduate"" );"
440,"""David Lewis""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (440, ""David Lewis"", ""M"" , ""Undergraduate"" );"
441,"""Billie Livingston""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (441, ""Billie Livingston"", ""M"" , ""Undergraduate"" );"
442,"""Adele Lang""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (442, ""Adele Lang"", ""M"" , ""Undergraduate"" );"
443,"""Jen Banbury""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (443, ""Jen Banbury"", ""M"" , ""Undergraduate"" );"
444,"""Catherine Coulter""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (444, ""Catherine Coulter"", ""M"" , ""Undergraduate"" );"
445,"""Dominick Dunne""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (445, ""Dominick Dunne"", ""M"" , ""Undergraduate"" );"
446,"""Clive Cussler""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (446, ""Clive Cussler"", ""M"" , ""Undergraduate"" );"
447,"""John Pascal""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (447, ""John Pascal"", ""M"" , ""Undergraduate"" );"
448,"""Carl Hiaasen""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (448, ""Carl Hiaasen"", ""M"" , ""Undergraduate"" );"
449,"""Jonathan Safran Foer""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (449, ""Jonathan Safran Foer"", ""M"" , ""Undergraduate"" );"
450,"""Francesca Marciano""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (450, ""Francesca Marciano"", ""M"" , ""Undergraduate"" );"
451,"""JULIA GLASS""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (451, ""JULIA GLASS"", ""M"" , ""Undergraduate"" );"
452,"""Tawni O'Dell""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (452, ""Tawni O'Dell"", ""M"" , ""Undergraduate"" );"
453,"""Jennifer Weiner""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (453, ""Jennifer Weiner"", ""M"" , ""Undergraduate"" );"
454,"""Danielle Steel""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (454, ""Danielle Steel"", ""M"" , ""Undergraduate"" );"
455,"""Leon Hale""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (455, ""Leon Hale"", ""M"" , ""Undergraduate"" );"
456,"""Russell Banks""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (456, ""Russell Banks"", ""M"" , ""Undergraduate"" );"
457,"""Samuel Taylor Coleridge""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (457, ""Samuel Taylor Coleridge"", ""M"" , ""Undergraduate"" );"
458,"""Bradley Warshauer""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (458, ""Bradley Warshauer"", ""M"" , ""Undergraduate"" );"
459,"""Bobbie Ann Mason""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (459, ""Bobbie Ann Mason"", ""M"" , ""Undergraduate"" );"
460,"""Karen Robards""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (460, ""Karen Robards"", ""M"" , ""Undergraduate"" );"
461,"""Emma Lathen""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (461, ""Emma Lathen"", ""M"" , ""Undergraduate"" );"
462,"""Faye Kellerman""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (462, ""Faye Kellerman"", ""M"" , ""Undergraduate"" );"
463,"""Jacquelyn Mitchard""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (463, ""Jacquelyn Mitchard"", ""M"" , ""Undergraduate"" );"
464,"""DIANE MOTT DAVIDSON""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (464, ""DIANE MOTT DAVIDSON"", ""M"" , ""Undergraduate"" );"
465,"""Candace Bushnell""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (465, ""Candace Bushnell"", ""M"" , ""Undergraduate"" );"
466,"""KRISTIN HANNAH""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (466, ""KRISTIN HANNAH"", ""M"" , ""Undergraduate"" );"
467,"""Michael Marshall""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (467, ""Michael Marshall"", ""M"" , ""Undergraduate"" );"
468,"""Allen Widome""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (468, ""Allen Widome"", ""M"" , ""Undergraduate"" );"
469,"""Wilbur Smith""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (469, ""Wilbur Smith"", ""M"" , ""Undergraduate"" );"
470,"""Mike Thaler""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (470, ""Mike Thaler"", ""M"" , ""Undergraduate"" );"
471,"""Michael Slade""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (471, ""Michael Slade"", ""M"" , ""Undergraduate"" );"
472,"""John Sandford""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (472, ""John Sandford"", ""M"" , ""Undergraduate"" );"
473,"""TAMI HOAG""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (473, ""TAMI HOAG"", ""M"" , ""Undergraduate"" );"
474,"""Ted Dekker""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (474, ""Ted Dekker"", ""M"" , ""Undergraduate"" );"
475,"""Angela Elwell Hunt""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (475, ""Angela Elwell Hunt"", ""M"" , ""Undergraduate"" );"
476,"""C. S. Lewis""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (476, ""C. S. Lewis"", ""M"" , ""Undergraduate"" );"
477,"""William Eisner""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (477, ""William Eisner"", ""M"" , ""Undergraduate"" );"
478,"""Robin Cook""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (478, ""Robin Cook"", ""M"" , ""Undergraduate"" );"
479,"""E. LYNN HARRIS""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (479, ""E. LYNN HARRIS"", ""M"" , ""Undergraduate"" );"
480,"""Linda Goodman""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (480, ""Linda Goodman"", ""M"" , ""Undergraduate"" );"
481,"""ANNE RICE""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (481, ""ANNE RICE"", ""M"" , ""Undergraduate"" );"
482,"""Judith Rossner""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (482, ""Judith Rossner"", ""M"" , ""Undergraduate"" );"
483,"""Marilyn French""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (483, ""Marilyn French"", ""M"" , ""Undergraduate"" );"
484,"""Wayne W. Dyer""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (484, ""Wayne W. Dyer"", ""M"" , ""Undergraduate"" );"
485,"""Armistead Maupin""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (485, ""Armistead Maupin"", ""M"" , ""Undergraduate"" );"
486,"""Julie Morgenstern""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (486, ""Julie Morgenstern"", ""M"" , ""Undergraduate"" );"
487,"""Peter Straub""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (487, ""Peter Straub"", ""M"" , ""Undergraduate"" );"
488,"""Jack""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (488, ""Jack"", ""M"" , ""Undergraduate"" );"
489,"""Barbara Taylor Bradford""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (489, ""Barbara Taylor Bradford"", ""M"" , ""Undergraduate"" );"
490,"""Lisa Jackson""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (490, ""Lisa Jackson"", ""M"" , ""Undergraduate"" );"
491,"""SHARYN MCCRUMB""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (491, ""SHARYN MCCRUMB"", ""M"" , ""Undergraduate"" );"
